北海道選挙管理委員会事務局

開票速報

衆議院比例代表選挙

【令和08年02月08日】

衆議院議員総選挙　比例代表　名簿届出政党等別得票数

全道計	確定
区分	確定	1	2	3	4	
日本共産党	国民民主党	中道改革連合	日本維新の会



共和町	*	26	164	1,447	57	
岩内町	*	61	278	2,434	149	
泊村	*	9	34	399	21	
神恵内村	*	8	24	293	8	
積丹町	*	8	47	425	31	
古平町	*	15	55	610	50	
仁木町	*	30	96	706	50	
余市町	*	96	460	3,726	253	
赤井川村	*	8	33	218	17	
後志総合振興局 計	*	483	2,626	18,754	1,275	







豊浦町	*	29	137	670	84	
壮瞥町	*	25	79	471	43	
白老町	*	90	438	2,674	233	
厚真町	*	46	167	933	82	
洞爺湖町	*	65	299	1,477	127	
安平町	*	66	291	1,418	125	
むかわ町	*	45	223	1,619	133	
胆振総合振興局 計	*	366	1,634	9,262	827	







日高町	*	63	426	2,315	136	
平取町	*	36	166	1,046	92	
新冠町	*	38	172	1,056	106	
浦河町	*	106	421	2,327	197	
様似町	*	23	140	912	74	
えりも町	*	12	185	1,020	107	
新ひだか町	*	142	687	4,309	301	
日高振興局 計	*	420	2,197	12,985	1,013	







松前町	*	33	115	1,504	62	
福島町	*	19	80	937	44	
知内町	*	21	82	1,083	54	
木古内町	*	11	61	904	65	
七飯町	*	176	843	5,370	489	
鹿部町	*	18	78	944	48	
森町	*	69	366	3,085	231	
八雲町	*	81	365	3,163	207	
長万部町	*	38	127	958	76	
渡島総合振興局 計	*	466	2,117	17,948	1,276	







江差町	*	49	143	1,538	102	
上ノ国町	*	10	61	1,149	53	
厚沢部町	*	27	54	971	65	
乙部町	*	19	58	937	35	
奥尻町	*	11	66	692	35	
今金町	*	21	115	1,139	79	
せたな町	*	44	151	1,921	133	
檜山振興局 計	*	181	648	8,347	502	







鷹栖町	*	39	247	1,291	146	
東神楽町	*	67	325	1,723	201	
当麻町	*	40	185	1,182	120	
比布町	*	20	95	715	64	
愛別町	*	21	63	543	47	
上川町	*	43	72	581	64	
東川町	*	74	291	1,410	184	
美瑛町	*	73	332	1,951	186	
上富良野町	*	38	297	2,572	114	
中富良野町	*	29	145	1,143	87	
南富良野町	*	24	68	433	63	
占冠村	*	104	32	196	21	
和寒町	*	28	64	706	57	
剣淵町	*	26	97	628	41	
下川町	*	26	105	710	61	
美深町	*	33	92	860	68	
音威子府村	*	14	17	105	10	
中川町	*	6	38	361	21	
幌加内町	*	13	38	359	22	
上川総合振興局 計	*	718	2,603	17,469	1,577	







増毛町	*	23	97	761	65	
小平町	*	29	76	713	56	
苫前町	*	19	70	668	43	
羽幌町	*	65	172	1,302	120	
初山別村	*	5	25	296	9	
遠別町	*	17	77	567	49	
天塩町	*	25	73	732	24	
留萌振興局 計	*	183	590	5,039	366	







猿払村	*	15	83	639	33	
浜頓別町	*	37	79	764	53	
中頓別町	*	19	38	364	28	
枝幸町	*	40	179	1,712	112	
豊富町	*	22	117	830	59	
礼文町	*	14	70	668	62	
利尻町	*	8	69	557	24	
利尻富士町	*	9	76	809	47	
幌延町	*	9	65	523	33	
宗谷総合振興局 計	*	173	776	6,866	451	







美幌町	*	112	515	3,977	271	
津別町	*	38	128	877	65	
斜里町	*	95	351	2,162	209	
清里町	*	43	124	949	59	
小清水町	*	79	148	999	64	
訓子府町	*	39	181	1,029	84	
置戸町	*	38	76	630	63	
佐呂間町	*	39	139	1,142	80	
遠軽町	*	208	517	4,109	304	
湧別町	*	71	242	2,124	140	
滝上町	*	19	67	594	45	
興部町	*	25	101	823	60	
西興部村	*	16	32	291	37	
雄武町	*	27	124	987	74	
大空町	*	43	210	1,644	110	
オホーツク総合振興局 計	*	892	2,955	22,337	1,665	







音更町	*	245	1,587	9,081	694	
士幌町	*	46	186	1,589	70	
上士幌町	*	42	154	1,140	53	
鹿追町	*	47	163	1,283	93	
新得町	*	74	150	1,229	127	
